Brand,Restaurant Name,Address,Phone,City,Postcode,Cuisine,Price Range,Capacity,Opening Hours,Features,Booking Available,Instagram,Website,Email
The Cocktail Club,The Cocktail Club Shoreditch,129-131 Shoreditch High Street E1 6JE,+44 (0)20 7739 9244,London,E1 6JE,Cocktails Bar Snacks,£££,200,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Live entertainment Private hire available,Yes,@thecocktailclub,,
The Cocktail Club,The Cocktail Club Old Street,69-71 Old Street EC1V 9HX,+44 (0)20 7253 9244,London,EC1V 9HX,Cocktails Bar Snacks,£££,180,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Live entertainment Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Canary Wharf,Cabot Place East E14 4QT,+44 (0)20 7719 0650,London,E14 4QT,Cocktails Bar Snacks,£££,150,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Corporate events Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Marylebone,15 Langham Place W1B 3DE,+44 (0)20 7580 1144,London,W1B 3DE,Cocktails Bar Snacks,£££,120,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails West End location Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Goodge Street,16 Goodge Street W1T 2QG,+44 (0)20 7580 3355,London,W1T 2QG,Cocktails Bar Snacks,£££,100,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Intimate setting Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Fitzrovia,37 Goodge Street W1T 2PJ,+44 (0)20 7580 1144,London,W1T 2PJ,Cocktails Bar Snacks,£££,90,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Cozy atmosphere Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Wimbledon,The Broadway SW19 1PS,+44 (0)20 8947 1144,London,SW19 1PS,Cocktails Bar Snacks,£££,140,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Suburban location Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Brighton,10A Kings Road BN1 1NE,+44 (0)1273 777 222,Brighton,BN1 1NE,Cocktails Bar Snacks,£££,160,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Seaside location Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Bath,14-16 Edgar Buildings BA1 2EE,+44 (0)1225 333 444,Bath,BA1 2EE,Cocktails Bar Snacks,£££,110,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails Historic setting Private hire available,Yes,,,
The Cocktail Club,The Cocktail Club Bristol,69 Queen Street BS1 4DZ,+44 (0)117 925 1144,Bristol,BS1 4DZ,Cocktails Bar Snacks,£££,130,Mon-Thu 5pm-1am Fri-Sat 5pm-2am Sun 5pm-12am,Theatrical cocktails City center location Private hire available,Yes,,,
